UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 21:17 ?        00:00:02 /sbin/init splash
root           2       0  0 21:17 ?        00:00:00 [kthreadd]
root           3       2  0 21:17 ?        00:00:00 [pool_workqueue_release]
root           4       2  0 21:17 ?        00:00:00 [kworker/R-rcu_g]
root           5       2  0 21:17 ?        00:00:00 [kworker/R-rcu_p]
root           6       2  0 21:17 ?        00:00:00 [kworker/R-slub_]
root           7       2  0 21:17 ?        00:00:00 [kworker/R-netns]
root           9       2  0 21:17 ?        00:00:02 [kworker/0:1-cgroup_destroy]
root          10       2  0 21:17 ?        00:00:00 [kworker/0:0H-events_highpri]
root          11       2  0 21:17 ?        00:00:00 [kworker/u12:0-ext4-rsv-conversion]
root          12       2  0 21:17 ?        00:00:00 [kworker/R-mm_pe]
root          13       2  0 21:17 ?        00:00:00 [rcu_tasks_kthread]
root          14       2  0 21:17 ?        00:00:00 [rcu_tasks_rude_kthread]
root          15       2  0 21:17 ?        00:00:00 [rcu_tasks_trace_kthread]
root          16       2  0 21:17 ?        00:00:00 [ksoftirqd/0]
root          17       2  0 21:17 ?        00:00:05 [rcu_preempt]
root          18       2  0 21:17 ?        00:00:00 [migration/0]
root          19       2  0 21:17 ?        00:00:00 [idle_inject/0]
root          20       2  0 21:17 ?        00:00:00 [cpuhp/0]
root          21       2  0 21:17 ?        00:00:00 [cpuhp/1]
root          22       2  0 21:17 ?        00:00:00 [idle_inject/1]
root          23       2  0 21:17 ?        00:00:00 [migration/1]
root          24       2  0 21:17 ?        00:00:00 [ksoftirqd/1]
root          27       2  0 21:17 ?        00:00:00 [cpuhp/2]
root          28       2  0 21:17 ?        00:00:00 [idle_inject/2]
root          29       2  0 21:17 ?        00:00:00 [migration/2]
root          30       2  0 21:17 ?        00:00:00 [ksoftirqd/2]
root          31       2  0 21:17 ?        00:00:01 [kworker/2:0-events]
root          33       2  0 21:17 ?        00:00:00 [cpuhp/3]
root          34       2  0 21:17 ?        00:00:00 [idle_inject/3]
root          35       2  0 21:17 ?        00:00:00 [migration/3]
root          36       2  0 21:17 ?        00:00:00 [ksoftirqd/3]
root          39       2  0 21:17 ?        00:00:00 [cpuhp/4]
root          40       2  0 21:17 ?        00:00:00 [idle_inject/4]
root          41       2  0 21:17 ?        00:00:00 [migration/4]
root          42       2  0 21:17 ?        00:00:00 [ksoftirqd/4]
root          43       2  0 21:17 ?        00:00:00 [kworker/4:0-mm_percpu_wq]
root          44       2  0 21:17 ?        00:00:00 [kworker/4:0H-kblockd]
root          45       2  0 21:17 ?        00:00:00 [cpuhp/5]
root          46       2  0 21:17 ?        00:00:00 [idle_inject/5]
root          47       2  0 21:17 ?        00:00:00 [migration/5]
root          48       2  0 21:17 ?        00:00:00 [ksoftirqd/5]
root          52       2  0 21:17 ?        00:00:00 [kworker/u14:0-events_unbound]
root          57       2  0 21:17 ?        00:00:00 [kdevtmpfs]
root          58       2  0 21:17 ?        00:00:00 [kworker/R-inet_]
root          59       2  0 21:17 ?        00:00:00 [kworker/u13:1-events_unbound]
root          60       2  0 21:17 ?        00:00:00 [kauditd]
root          61       2  0 21:17 ?        00:00:00 [khungtaskd]
root          62       2  0 21:17 ?        00:00:00 [oom_reaper]
root          64       2  0 21:17 ?        00:00:00 [kworker/R-write]
root          65       2  0 21:17 ?        00:00:00 [kcompactd0]
root          66       2  0 21:17 ?        00:00:00 [ksmd]
root          68       2  0 21:17 ?        00:00:00 [khugepaged]
root          69       2  0 21:17 ?        00:00:00 [kworker/R-kinte]
root          70       2  0 21:17 ?        00:00:00 [kworker/R-kbloc]
root          71       2  0 21:17 ?        00:00:00 [kworker/R-blkcg]
root          72       2  0 21:17 ?        00:00:00 [irq/9-acpi]
root          74       2  0 21:17 ?        00:00:00 [kworker/R-tpm_d]
root          75       2  0 21:17 ?        00:00:00 [kworker/R-ata_s]
root          76       2  0 21:17 ?        00:00:00 [kworker/R-md]
root          77       2  0 21:17 ?        00:00:00 [kworker/R-md_bi]
root          78       2  0 21:17 ?        00:00:00 [kworker/R-edac-]
root          79       2  0 21:17 ?        00:00:00 [kworker/R-devfr]
root          80       2  0 21:17 ?        00:00:00 [watchdogd]
root          82       2  0 21:17 ?        00:00:00 [kworker/3:1H-kblockd]
root          83       2  0 21:17 ?        00:00:00 [kswapd0]
root          84       2  0 21:17 ?        00:00:00 [ecryptfs-kthread]
root          85       2  0 21:17 ?        00:00:00 [kworker/R-kthro]
root          86       2  0 21:17 ?        00:00:00 [kworker/R-acpi_]
root          87       2  0 21:17 ?        00:00:01 [kworker/u16:2-events_unbound]
root          90       2  0 21:17 ?        00:00:00 [scsi_eh_0]
root          91       2  0 21:17 ?        00:00:00 [kworker/R-scsi_]
root          92       2  0 21:17 ?        00:00:00 [scsi_eh_1]
root          93       2  0 21:17 ?        00:00:00 [kworker/R-scsi_]
root          94       2  0 21:17 ?        00:00:00 [kworker/u16:3-flush-8:0]
root          97       2  0 21:17 ?        00:00:00 [kworker/R-mld]
root          98       2  0 21:17 ?        00:00:00 [kworker/R-ipv6_]
root         106       2  0 21:17 ?        00:00:00 [kworker/R-kstrp]
root         108       2  0 21:17 ?        00:00:00 [kworker/4:1H-kblockd]
root         110       2  0 21:17 ?        00:00:00 [kworker/u19:0]
root         111       2  0 21:17 ?        00:00:00 [kworker/u20:0-ttm]
root         112       2  0 21:17 ?        00:00:00 [kworker/u21:0-ttm]
root         113       2  0 21:17 ?        00:00:00 [kworker/u22:0]
root         114       2  0 21:17 ?        00:00:00 [kworker/u23:0]
root         115       2  0 21:17 ?        00:00:00 [kworker/u24:0]
root         116       2  0 21:17 ?        00:00:00 [kworker/u25:0-ttm]
root         120       2  0 21:17 ?        00:00:01 [kworker/u15:1-events_power_efficient]
root         125       2  0 21:17 ?        00:00:00 [kworker/1:2-cgroup_destroy]
root         132       2  0 21:17 ?        00:00:00 [kworker/R-charg]
root         156       2  0 21:17 ?        00:00:00 [kworker/5:1H-kblockd]
root         189       2  0 21:17 ?        00:00:00 [kworker/1:1H-kblockd]
root         190       2  0 21:17 ?        00:00:00 [kworker/0:1H-kblockd]
root         191       2  0 21:17 ?        00:00:00 [kworker/2:1H-kblockd]
root         199       2  0 21:17 ?        00:00:00 [kworker/0:2-events]
root         209       2  0 21:17 ?        00:00:00 [scsi_eh_2]
root         210       2  0 21:17 ?        00:00:00 [kworker/R-scsi_]
root         211       2  0 21:17 ?        00:00:00 [kworker/u13:2-events_power_efficient]
root         212       2  0 21:17 ?        00:00:00 [kworker/u18:2-events_unbound]
root         213       2  0 21:17 ?        00:00:00 [kworker/5:2-mm_percpu_wq]
root         259       2  0 21:17 ?        00:00:00 [jbd2/sda2-8]
root         260       2  0 21:17 ?        00:00:00 [kworker/R-ext4-]
root         308       1  0 21:17 ?        00:00:01 /usr/lib/systemd/systemd-journald
root         326       2  0 21:17 ?        00:00:00 [kworker/u14:2-events_unbound]
root         363       2  0 21:17 ?        00:00:00 [kworker/4:2-mm_percpu_wq]
